"Team","Year","Playoff_Status","Wins","Total.Payroll","Active.Payroll","Injured","Retained","Buried","Suspended","Average.Age","Payroll.Percent.Change","Diff_From_League_Avg_Payroll","Payroll.Ranking","Top1_Percent","Top3_Percent","Top5_Percent","Median_Exp","Mean_Exp","Position_Payroll_1B","Position_Payroll_2B","Position_Payroll_3B","Position_Payroll_C","Position_Payroll_CF","Position_Payroll_DH","Position_Payroll_LF","Position_Payroll_OF","Position_Payroll_P","Position_Payroll_RF","Position_Payroll_RP","Position_Payroll_SP","Position_Payroll_SS","Position_Percent_Payroll_1B","Position_Percent_Payroll_2B","Position_Percent_Payroll_3B","Position_Percent_Payroll_C","Position_Percent_Payroll_CF","Position_Percent_Payroll_DH","Position_Percent_Payroll_LF","Position_Percent_Payroll_OF","Position_Percent_Payroll_P","Position_Percent_Payroll_RF","Position_Percent_Payroll_RP","Position_Percent_Payroll_SP","Position_Percent_Payroll_SS","Player_Group_Payroll_Designated_Hitter","Player_Group_Payroll_Infield","Player_Group_Payroll_OutField","Player_Group_Payroll_Pitcher","Player_Group_Percent_Payroll_Designated_Hitter","Player_Group_Percent_Payroll_Infield","Player_Group_Percent_Payroll_OutField","Player_Group_Percent_Payroll_Pitcher"
"cincinnati-reds",2015,0,64,112333097,68445559,22890777,20832787,163974,0,27.4,-0.9,-16287730.766667,18,12.4629342321079,33.8650558169869,49.933338880526,2.069,3.2784347826087,1.6e+07,1.2e+07,6607500,5447500,545000,0,11553893,0,0,14606324,29570071,26184727,0,14.2433534081233,10.6825150560925,5.88205985276094,4.84941673067199,0.485164225464201,0,10.2853863274152,0,0,13.0026896703471,26.3235607222687,23.3098950347643,0,0,40055000,26705217,55754798,0,35.6573450476488,23.7732402232265,49.633455757033
"cincinnati-reds",2016,0,68,88626437,63783665,11856070,10862757,2123945,0,27,-21.1,-45267853.633333,25,22.5666298646306,57.544906154808,71.8992246072129,0.157,2.343525,2e+07,1.3e+07,4270000,6558000,1585000,0,1007500,507500,0,9221721,11869837,22817759,1025000,22.5666298646306,14.6683094120099,4.81797547609863,7.39959793261236,1.78840541677197,0,1.13679397943077,0.572628232815001,0,10.4051582260945,13.3931109066248,25.7459960846672,1.15653978056232,0,44853000,12321721,34687596,0,50.6090524659137,13.9029858551123,39.139106991292
"cleveland-guardians",2019,0,93,106838693,83738008,6588308,16165338,347039,0,27.6,-25.34,-30564045.7,22,17.15982523298,40.7623865260126,58.1310490198528,2.1195,3.08489729628528,18927009,15355972,4344696,3857988,3e+06,184032,943080,788359,0,4629307,16135431,25062388,10663392,17.7155003197203,14.373043668739,4.06659411305228,3.61104005643349,2.80797145281438,0.172252200801446,0.88271390590673,0.737896522189765,0,4.33298730077127,15.1026098756188,23.4581566811193,9.98083344205643,184032,53149057,9360746,41197819,0.172252200801446,49.7470116000015,8.76156918168214,38.560766556738
"miami-marlins",2019,0,57,75596271,66602760,3001903,4968020,1023588,0,27.4,-17.53,-61806467.7,27,26.4563314240725,61.9834039168414,70.3899032268404,1.065,2.43483333333333,555000,14967142,15585000,2375000,1125000,555000,2305000,0,1110000,555000,13661686,22997034,3715000,0.734163197018012,19.7987834611578,20.6160962622085,3.14168935660861,1.48816864260408,0.734163197018012,3.04909219662435,0,1.46832639403602,0.734163197018012,18.0719046313806,30.4208576637332,4.91426356202147,555000,37197142,3985000,37768720,0.734163197018012,49.2049958390143,5.27142403624644,49.9610886891498
"detroit-tigers",2015,0,75,162160921,109879336,27072978,25208607,0,0,27.4,-5.8,33540093.233333,6,17.2667988238671,41.1936486226543,59.6937902196547,1.107,3.74079069767442,507500,17015000,0,6415000,5e+06,3.9e+07,7298265,0,0,1032500,25990320,64341626,1963750,0.312960728682591,10.4926636424321,0,3.95594694482526,3.0833569328334,24.0501840761006,4.50063119708108,0,0,0.636713206630098,16.0274866717117,39.6776397193748,1.21098843537032,3.9e+07,25901250,13330765,90331946,24.0501840761006,15.9725597513102,8.22070133654458,55.7051263910865
"los-angeles-angels",2016,0,74,174295919,89811509,39667205,42327190,2490015,0,27.7,21.59,40401628.366667,7,15.1523914911628,41.2574203759756,62.0745073210808,2.1285,3.9589347826087,1684500,0,7e+06,4328000,16590833,26532500,30029510,0,0,3400000,23940180,62800000,10507500,0.966459805636643,0,4.01615828997121,2.48313329699934,9.51877307006827,15.2226742612373,17.2290379328962,0,0,1.95070545512887,13.7353646243433,36.0306772300274,6.02854046169606,26532500,23520000,50020343,86740180,15.2226742612373,13.4942918543033,28.6985164580933,49.7660418543707
"los-angeles-angels",2017,0,80,166161209,109185825,16095730,40248286,631368,0,28.9,-4.67,26122226.4,9,15.8942030808165,44.8570400086581,65.3692481257765,3.627,4.11436956521739,1112000,1.4e+07,13500000,2807500,25153333,26535000,48535000,0,0,13435009,28125587,24893000,16210000,0.669229603402801,8.42555256082664,8.12463996936854,1.6896242010372,15.1379092336768,15.9694312286811,29.2095852528372,0,0,8.08552674890564,16.9266865409002,14.9812342783327,9.75558621507141,26535000,47629500,87123342,53018587,15.9694312286811,28.6646325497066,52.4330212354196,31.9079208192328
"minnesota-twins",2014,0,70,87494478,72140448,0,15337637,16393,0,27,7.62,-32262028.933333,24,26.2873732442863,49.7174233098459,61.9492638152547,2.108,3.59502564102564,1515000,540000,3434400,27815000,2047773,3015944,6878072,5e+05,0,0,29149984,17539823,617541,1.73153784630843,0.617181806604984,3.9252762900077,31.7905776865141,2.34045970306835,3.44701067877678,7.86114982022065,0.571464635745355,0,0,33.3163699770859,20.046777123466,0.705805685245645,3015944,33921941,9425845,46689807,3.44701067877678,38.7703793146809,10.7730741590344,53.3631471005519
"minnesota-twins",2015,0,83,106431818,101448147,520081,3950000,513590,0,28.1,21.64,-22189009.766667,22,21.6100790460988,42.7503737651085,58.5335862627095,2.141,3.94560256410256,1025000,2025000,6357500,30017500,3122500,0,507500,530000,0,11007500,32390149,22910860,0,0.963057870532663,1.90262652471087,5.97330771893796,28.2035020767944,2.93380312267146,0,0.476831091995441,0.49797138671445,0,10.3423019608666,30.4327687045616,21.5263258962653,0,0,39425000,15167500,55301009,0,37.0424941909759,14.250907562248,51.959094600827
"texas-rangers",2021,0,60,95788819,24843032,7899375,58916700,4129712,0,27,-34.12,-34831351.233333,20,17.4863832489677,40.8015605662703,55.6780358676309,1.0875,2.05171052631579,7381000,14653833,1500000,1158000,574000,19450000,586000,1740500,573500,575000,24768867,14295750,8820500,7.70549222451526,15.298062083843,1.56594476856427,1.20890936133162,0.599234864770595,20.3050838323834,0.611762422919109,1.81701791312408,0.598712883181074,0.600278827949638,25.8577851346095,14.9242366168018,9.20827722074744,19450000,33513333,3475500,39638117,20.3050838323834,34.9866856590016,3.62829402876342,41.3807346345924
"texas-rangers",2022,0,68,150037446,100539086,13330822,30024329,6143209,0,27.2,56.63,-216117.400000006,16,21.9945092907007,48.654520552156,61.7068175100768,2.028,3.04594594594595,716000,38033333,2450000,1414000,784231,3335000,6720000,2020577,0,5914000,17444420,25630768,40950000,0.477214201580051,25.349227152267,1.63292568976414,0.942431398092447,0.52269018228956,2.22277843892384,4.4788818919245,1.34671513936594,0,3.94168266500617,11.6267108412389,17.0829140879937,27.2931865289149,3335000,83563333,15438808,43075188,2.22277843892384,55.6949849706186,10.2899698785862,28.7096249292327
"new-york-yankees",2012,3,95,225589742,213651218,0,11938524,0,0,30.4,6.94,118391856.866667,1,13.2984770202893,33.7448854389842,48.8164927286454,7.055,7.552,23125000,9e+05,4861300,8978200,480000,15100000,33845000,10250000,0,525000,42198449,52535675,4.6e+07,10.2509093698064,0.39895431060868,2.15492954462442,3.97987954611872,0.212775632324629,6.69356676687897,15.0028984917231,4.54364631526552,0,0.232723347855063,18.7058368106117,23.2881488910963,20.390998097777,15100000,83864500,45100000,94734124,6.69356676687897,37.1756708689352,19.9920437871683,41.993985701708
"pittsburgh-pirates",2012,0,79,61118682,57932479,0,3186203,0,0,28.2,26.29,-46079203.133333,28,26.9966554579826,42.5401843580331,56.1775857666564,3.016,4.38002222222222,3643000,1464000,2116203,4985000,0,808333,2234000,0,0,4126667,20361000,31627500,6643000,5.96053429293518,2.39533961154463,3.46244868303934,8.15626227018443,0,1.32256287856469,3.65518353291715,0,0,6.75189134477736,33.3138728351505,51.747680030142,10.8690171034775,808333,18851203,6360667,51988500,1.32256287856469,30.843601961181,10.4070748776945,85.0615528652925
"new-york-yankees",2013,0,85,234518126,221782587,0,10760350,1975189,0,29.8,3.96,123820345.4,2,12.3657819097531,32.5401286892426,50.0227858719969,6,6.47904255319149,27625000,1390000,13023300,2010450,0,3.5e+07,50277500,4e+05,0,0,32201900,59565600,46490000,11.7794732847217,0.592704719122649,5.55321681190647,0.857268491050453,0,14.9242195462538,21.4386413781935,0.170562509100043,0,0,13.7310921544717,25.3991454801238,19.8236276201525,3.5e+07,90538750,50677500,91767500,14.9242195462538,38.6062909269538,21.6092038872936,39.1302376345955
"pittsburgh-pirates",2013,2,94,71480984,67762905,0,832370,2885709,0,28.2,16.95,-39216796.6,27,23.083062202949,55.9589386738157,75.5445672096512,3.081,4.36915384615385,17450000,3803000,0,14995000,1600000,4858333,807103,0,0,7161667,17508775,24624781,6578711,24.4120869964521,5.32029609441303,0,20.9776071353467,2.23835754695263,6.79667896009937,1.12911568201132,0,0,10.0189821113822,24.4943116619659,34.4494152458785,9.20344213504391,4858333,42826711,9568770,42133556,6.79667896009937,59.9134323612557,13.3864553403462,58.9437269078445
"philadelphia-phillies",2014,0,73,175061605,145123014,2.5e+07,4263731,674860,0,29.1,7.05,55305098.066667,3,14.280687075844,41.9852200029812,57.9795895279265,4.0485,5.22664705882353,25500000,15950000,5e+05,10125000,1950000,0,9950000,0,0,1567009,28260222,71591666,11500000,14.5663008173608,9.11107835438844,0.285613741516879,5.7836782657168,1.11389359191583,0,5.6837134561859,0,0,0.895118606961247,16.1430154830352,40.8951271753735,6.56911605488822,0,63575000,13467009,99851888,0,36.3157872338712,7.69272565506297,57.0381426584087
"pittsburgh-pirates",2015,1,98,99435606,81904030,14318868,2759768,452940,0,29,29.18,-29185221.766667,23,11.7328857029342,30.597690529487,46.688506127272,4.02,4.16112195121951,6303005,12950000,5513866,2720000,0,10258333,3946461,0,0,8634735,32094007,19410781,1059000,6.33878069793229,13.0235038744572,5.54516256480601,2.73543865162344,0,10.3165590402295,3.96886101342813,0,0,8.68374553879623,32.2761717769387,19.5209561049993,1.06501085737839,10258333,28545871,12581196,51504788,10.3165590402295,28.7078966461973,12.6526065522244,51.797127881938
"washington-nationals",2015,0,83,165655095,146009803,17556549,2e+06,88743,0,28,15.62,37034267.233333,5,13.0218922635612,33.4365115663964,49.735436751885,3.0995,4.08329545454545,17543200,507500,7500000,5257500,12021672,2e+06,36571428,0,0,0,33323249,65741017,2815000,10.5901964560764,0.306359427097609,4.52747921819127,3.17376293195208,7.25704935305491,1.20732779151767,22.0768506999438,0,0,0,20.1160423106817,39.6854784333678,1.69931386656112,2e+06,33623200,48593100,99064266,1.20732779151767,20.2971118998785,29.3339000529987,59.8015207440496
"washington-nationals",2016,2,95,139583852,119416458,5869400,14207786,90208,0,28.5,-15.74,5689561.366667,15,15.9351219222693,41.4190353480143,57.5383784364971,5.042,4.84212195121951,27534900,3e+06,4300000,6737500,6774000,0,23028928,0,0,0,39098086,47323157,3890000,19.7264222225362,2.14924574513103,3.08058556802115,4.82684773594011,4.85299689250588,0,16.4982751729763,0,0,0,28.0104649927558,33.9030312761393,2.78685531618657,0,45462400,29802928,86421243,0,32.569956587815,21.3512720654822,61.9134962688951
"washington-nationals",2017,2,97,159995997,142296995,11351707,5952690,394605,0,29.1,14.62,19957014.4,12,13.4824798147919,33.6913185396757,49.7073442406187,4.159,5.04206666666667,41425000,14035000,5800000,13845000,1092900,0,24067735,1070000,0,4535000,35785126,36737256,1092700,25.8912727672805,8.77209446683844,3.62509069523783,8.65334149578755,0.683079589797487,0,15.0427107248189,0.668766731707669,0,2.83444591429372,22.3662633259506,22.9613594645121,0.682954586670065,0,76197700,30765635,72522382,0,47.6247540118144,19.2290029606178,45.3276227904627
